id;lang;term_text;category;genus;needs_vowel_article;unit_id;ref;tags;has_audio
426;fr;{se} faufiler {entre qc.};verb;;;;;;true
427;fr;véhicule;noun;m;;;;;true
428;fr;en face;adjective;;;;;;true
429;de;entgegenkommend;adjective;;;;;;true
430;de;Fahrzeug;noun;n;;;;;true
431;fr;radar;noun;m;;;;;true
432;de;Blitzer;noun;m;;;;;true
433;fr;mesure;noun;f;;;;;true
434;de;Maßnahme;noun;f;;;;;true
435;de;{sich zwischen etw.} hindurchschlängeln;verb;;;;;;true
436;fr;cycliste;noun;m;;;;;true
437;de;Radfahrer;noun;m;;;;;true
438;fr;trottinette;noun;f;;;;;true
439;de;E-Scooter;noun;m;;;;;true
440;de;nach Griechenland;expression;;;;;;true
441;fr;en Grèce;expression;;;;;;true
442;fr;grecque;noun;f;;;;;true
443;de;Griechin;noun;f;;;;;true
444;fr;être en rénovation;verb;;;;;;true
445;de;renoviert werden;verb;;;;;;true
446;fr;pâte d'amandes;noun;f;;;;;true
447;de;Marzipan;noun;n;;;;;true
448;fr;plage;noun;f;;;;;true
449;fr;bondé;adjective;;;;;;true
450;de;überfüllt;adjective;;;;;;true
451;de;Strand;noun;m;;;;;true
452;fr;camping-car;noun;m;;;;;true
453;de;Wohnmobil;noun;n;;;;;true
454;de;reisen;verb;;;;;;true
455;fr;voyager;verb;;;;;;true
456;fr;côte;noun;f;;;;;true
457;de;Küste;noun;f;;;;;true
458;fr;aller en avion;verb;;;;;;true
459;de;fliegen;verb;;;;;;true
460;fr;centre-ville;noun;m;;;;;true
461;de;Stadtzentrum;noun;n;;;;;true
462;fr;indice;noun;m;true;;;;true
463;de;Hinweis;noun;m;;;;;true
464;fr;enquêteur;noun;m;true;;;;true
465;de;Ermittler;noun;m;;;;;true
466;fr;désert;noun;m;;;;;true
467;de;Wüste;noun;f;;;;;true
468;fr;retardé;adjective;;;;;;true
469;fr;vol;noun;m;;;;;true
470;de;Flug;noun;m;;;;;true
471;de;verspätet;adjective;;;;;;true
472;fr;exposition;noun;f;true;;;;true
473;de;Kunstausstellung;noun;f;;;;;true
474;fr;musée;noun;m;;;;;true
475;de;Museum;noun;n;;;;;true
476;fr;tableau;noun;m;;;;;true
477;de;Gemälde;noun;n;;;;;true
478;fr;design;noun;m;;;;;true
479;de;Design;noun;n;;;;;true
480;fr;scandinave;adjective;;;;;;true
481;de;skandinavisch;adjective;;;;;;true
482;fr;spéciale;adjective;;;;;;true
483;de;besonders;adjective;;;;;;true
484;fr;feu;noun;m;;;;;true
485;de;Ampel;noun;f;;;;;true
486;fr;large;adjective;;;;;;true
487;de;Straße;noun;f;;;;;true
488;fr;rue;noun;f;;;;;true
489;de;breit;adjective;;;;;;true
490;fr;rue piétonne;noun;f;;;;;true
491;de;Fußgängerzone;noun;f;;;;;true
492;fr;métro;noun;m;;;;;true
493;de;U-Bahn;noun;f;;;;;true
494;fr;battu par les vents;expression;;;;;;true
495;de;von Winden heimgesucht;expression;;;;;;true
496;fr;bâti;adjective;;;;;;true
497;de;bebaut;adjective;;;;;;true
498;fr;dense;adjective;;;;;;true
499;de;dicht;adjective;;;;;;true
500;fr;valoir une bonne réputation à {qn.};verb;;;;;;true
501;de;{jmdm.} einen guten Ruf einbringen;verb;;;;;;true
502;fr;porter ses fruits;verb;;;;;;true
503;de;{etw.} bringen;verb;;;;;;true
504;fr;diminuer;verb;;;;;;true
505;de;abnehmen;verb;;;;;;true
506;fr;chêne;noun;m;;;;;true
507;de;Eiche;noun;f;;;;;true
508;fr;parquet;noun;m;;;;;true
509;de;Parkett;noun;n;;;;;true
510;fr;en périphérie de la ville;expression;;;;;;true
511;de;am Stadtrand;expression;;;;;;true
512;fr;embouteillage;noun;m;true;;;;true
513;de;Stadtring;noun;m;;;;;true
514;fr;périphérique;noun;m;;;;;true
515;de;Stau;noun;m;;;;;true
516;fr;France;other;;;;;;true
517;de;Frankreich;other;;;;;;true
518;fr;abolir {qc.};verb;;;;;;true
519;de;{etw.} abschaffen;verb;;;;;;true
520;de;Todesstrafe;noun;f;;;;;true
521;fr;peine de mort;noun;f;;;;;true
522;fr;supprimer {qc.};verb;;;;;;true
524;fr;{se} détendre;verb;;;;;;true
525;de;{sich} entspannen;verb;;;;;;true
526;fr;parquet flottant;noun;m;;;;;true
527;de;Laminat;noun;n;;;;;true
528;fr;rivière;noun;f;;;;;true
529;fr;aulne;noun;m;true;;;;true
530;de;Erle;noun;f;;;;;true
531;de;Fluss;noun;m;;;;;true
532;de;Buche;noun;f;;;;;true
533;de;Hartholz;noun;n;;;;;true
534;fr;bois dur;noun;m;;;;;true
535;fr;hêtre;noun;m;;;;;true
536;de;Kiefer;noun;f;;;;;true
537;de;Nadelbaum;noun;m;;;;;true
538;fr;arbre résineux;noun;m;true;;;;true
539;fr;pin;noun;m;;;;;true
540;fr;érable;noun;m;true;;;;true
541;de;Ahorn;noun;m;;;;;true
542;de;Sirup;noun;m;;;;;true
543;fr;sirop;noun;m;;;;;true
544;fr;épicéa;noun;m;true;;;;true
545;de;Fichte;noun;f;;;;;true
546;fr;commun;adjective;;;;;;true
547;de;häufig;adjective;;;;;;true
548;fr;pin parasol;noun;m;;;;;true
549;de;Pinie;noun;f;;;;;true
550;de;im Süden;expression;;;;;;true
551;fr;dans le Sud;expression;;;;;;true
552;fr;bouleau;noun;m;;;;;true
553;fr;écorce;noun;f;true;;;;true
554;de;Rinde;noun;f;;;;;true
555;de;Birke;noun;f;;;;;true
556;fr;cerisier;noun;m;;;;;true
557;de;Kirschbaum;noun;m;;;;;true
558;fr;fleurir;verb;;;;;;true
559;de;blühen;verb;;;;;;true
560;fr;au printemps;expression;;;;;;true
561;de;im Frühling;expression;;;;;;true
562;fr;bazar;noun;m;;;;;true
563;de;Kram;noun;m;;;;;true
564;fr;fouillir;verb;;;;;;true
565;de;kramen;verb;;;;;;true
566;de;Schlüssel;noun;m;;;;;true
567;fr;clé;noun;f;;;;;true
568;fr;annuler {qc.};verb;;;;;;true
569;de;{etw.} absagen;verb;;;;;;true
570;fr;réunion;noun;f;;;;;true
571;de;Treffen;noun;n;;;;;true
572;fr;décision;noun;f;;;;;true
573;de;Entscheidung;noun;f;;;;;true
574;fr;détériorer {qc.};verb;;;;;;true
575;de;{etw.} verschlechtern;verb;;;;;;true
576;fr;autre part;expression;;;;;;true
577;de;woanders;expression;;;;;;true
578;fr;autrefois;expression;;;;;;true
579;de;früher;expression;;;;;;true
580;fr;mal assuré;adjective;;;;;;true
581;de;unsicher;adjective;;;;;;true
582;fr;avancer;verb;;;;;;true
583;de;gehen;verb;;;;;;true
